Year,Ward,WD12CD,WD12CDO,Candidate,Party,Votes,Result
2015,Saltford,E05001963,00HAPU,Francine Haeberling,Conservative Party,1262,Elected
2015,Saltford,E05001963,00HAPU,Emma Clare Dixon,Conservative Party,1222,Elected
2015,Saltford,E05001963,00HAPU,Liz Barling,Green Party,358,Not elected
2015,Saltford,E05001963,00HAPU,Nik Sas,Labour Party,332,Not elected
2015,Saltford,E05001963,00HAPU,Farida Wilson,Liberal Democrats,514,Not elected
2015,Saltford,E05001963,00HAPU,Duncan Hounsell,Liberal Democrats,850,Not elected
2015,Saltford,E05001963,00HAPU,Tim House,UK Independence Party,355,Not elected
2011,Southdown,E05001964,00HAPW,Paul Nigel Crossley,Liberal Democrats,863,Elected
2011,Southdown,E05001964,00HAPW,Dine Romero,Liberal Democrats,803,Elected
2011,Southdown,E05001964,00HAPW,Keith Franklin,Labour Party,402,Not elected
2011,Southdown,E05001964,00HAPW,Dan Warren,Conservative Party,323,Not elected
2011,Southdown,E05001964,00HAPW,Natalie Valentina Davis,Green Party,315,Not elected
2011,Southdown,E05001964,00HAPW,Peter Gordon Till,Conservative Party,272,Not elected
2007,Southdown,E05001964,00HAPW,Dine Romero,Liberal Democrats,728,Elected
2007,Southdown,E05001964,00HAPW,Paul Crossley,Liberal Democrats,611,Elected
2007,Southdown,E05001964,00HAPW,Owen David Broadway,Conservative Party,486,Not elected
2007,Southdown,E05001964,00HAPW,Guy John Gardener,Conservative Party,449,Not elected
2007,Southdown,E05001964,00HAPW,Grant Davis,Green Party,432,Not elected
2003,Southdown,E05001964,00HAPW,Paul Crossley,Liberal Democrats,619,Elected
2003,Southdown,E05001964,00HAPW,Dine Romero,Liberal Democrats,618,Elected
2003,Southdown,E05001964,00HAPW,Kenneth Philip Cragg,Conservative Party,253,Not elected
2003,Southdown,E05001964,00HAPW,John Grant Ferrie,Conservative Party,253,Not elected
2003,Southdown,E05001964,00HAPW,Grenville Malcolm John Young,Labour Party,226,Not elected
2015,Southdown,E05001964,00HAPW,Scarlett Windmill-Last,Conservative Party,477,Not elected
2015,Southdown,E05001964,00HAPW,Peter Burford Goodhart,Conservative Party,797,Not elected
2015,Southdown,E05001964,00HAPW,Bethany Louise Tavener,Independent,55,Not elected
2015,Southdown,E05001964,00HAPW,Grant Brian Davis,Green Party,376,Not elected
2015,Southdown,E05001964,00HAPW,Ross Ashley Baxter,Green Party,407,Not elected
2015,Southdown,E05001964,00HAPW,Stephen John Bendle,Labour Party,428,Not elected
2015,Southdown,E05001964,00HAPW,Dine Romero,Liberal Democrats,1003,Elected
2015,Southdown,E05001964,00HAPW,Paul Crossley,Liberal Democrats,1230,Elected
2015,Southdown,E05001964,00HAPW,Stewart Edward Weston.,Left Unity,26,Not elected
2015,Southdown,E05001964,00HAPW,Karen Ruth Weston.,Left Unity,27,Not elected
2015,Southdown,E05001964,00HAPW,Julian Richard Deverell,UK Independence Party,471,Not elected
2011,Timsbury,E05001965,00HAPX,Douglas Eric Deacon,Independent,852,Elected
2011,Timsbury,E05001965,00HAPX,Will Parbury,Labour and Co-operative Party,189,Not elected
2011,Timsbury,E05001965,00HAPX,Michael Green,Conservative Party,148,Not elected
2011,Timsbury,E05001965,00HAPX,Robert James Attword,Liberal Democrats,48,Not elected
2007,Timsbury,E05001965,00HAPX,Douglas Deacon,Independent,425,Elected
2007,Timsbury,E05001965,00HAPX,Matthew Neal Davis,Labour Party,384,Not elected
2007,Timsbury,E05001965,00HAPX,David John Veale,Conservative Party,331,Not elected
2007,Timsbury,E05001965,00HAPX,Jenny Crossley,Liberal Democrats,47,Not elected
2003,Timsbury,E05001965,00HAPX,Matthew Neal Davis,Labour Party,485,Elected
2003,Timsbury,E05001965,00HAPX,John Kenyon Knibbs,Conservative Party,278,Not elected
2003,Timsbury,E05001965,00HAPX,Gwendoline Rose Matthews,Liberal Democrats,97,Not elected
2015,Timsbury,E05001965,00HAPX,Carole Diane Fitzpatrick,Conservative Party,359,Not elected
2015,Timsbury,E05001965,00HAPX,Douglas Eric Deacon,Independent,736,Elected
2015,Timsbury,E05001965,00HAPX,Sara Elizabeth Strawson,Green Party,134,Not elected
2015,Timsbury,E05001965,00HAPX,Peter Sas,Labour and Co-operative Party,200,Not elected
2015,Timsbury,E05001965,00HAPX,Daniel Mark Hilton,Liberal Democrats,174,Not elected
2011,Twerton,E05001966,00HAPY,Tim Ball,Liberal Democrats,757,Elected
2011,Twerton,E05001966,00HAPY,Gerry Curran,Liberal Democrats,525,Elected
2011,Twerton,E05001966,00HAPY,Steve Cope,Labour Party,254,Not elected
2011,Twerton,E05001966,00HAPY,John Palmer,Conservative Party,234,Not elected
2011,Twerton,E05001966,00HAPY,Sanjeev Chaddha,Labour Party,220,Not elected
2011,Twerton,E05001966,00HAPY,Gay Tulyholowycz,Conservative Party,153,Not elected
2011,Twerton,E05001966,00HAPY,Justin Lee-Gammage,Green Party,150,Not elected
2007,Twerton,E05001966,00HAPY,Tim Ball,Liberal Democrats,634,Elected
2007,Twerton,E05001966,00HAPY,Gerry Curran,Liberal Democrats,461,Elected
2007,Twerton,E05001966,00HAPY,Gavin Bishop,Conservative Party,306,Not elected
2007,Twerton,E05001966,00HAPY,Zena Gay Tulyholowycz,Conservative Party,245,Not elected
2003,Twerton,E05001966,00HAPY,Tim Ball,Liberal Democrats,530,Elected
2003,Twerton,E05001966,00HAPY,Gerry Curran,Liberal Democrats,404,Elected
2003,Twerton,E05001966,00HAPY,Margaret Ann Pearce,Labour and Co-operative Party,186,Not elected
2003,Twerton,E05001966,00HAPY,Maureen Veronica Bailey,Conservative Party,146,Not elected
2003,Twerton,E05001966,00HAPY,Roger Smith,Conservative Party,125,Not elected
2015,Twerton,E05001966,00HAPY,Matteo Weeks,Conservative Party,239,Not elected
2015,Twerton,E05001966,00HAPY,James Frederick Jacobs Hopkins,Conservative Party,350,Not elected
2015,Twerton,E05001966,00HAPY,Lee Giles,Green Party,484,Not elected
2015,Twerton,E05001966,00HAPY,Joe Rayment,Labour Party,567,Elected
2015,Twerton,E05001966,00HAPY,Gerry Curran,Liberal Democrats,546,Not elected
2015,Twerton,E05001966,00HAPY,Tim Ball,Liberal Democrats,881,Elected
2015,Twerton,E05001966,00HAPY,Henry Darren Maltby Marshall,UK Independence Party,341,Not elected
2011,Walcot,E05001967,00HAPZ,Lisa Jane Brett,Liberal Democrats,1144,Elected
2011,Walcot,E05001967,00HAPZ,Paul Jonathan Fox,Liberal Democrats,914,Elected
2011,Walcot,E05001967,00HAPZ,Nicholas Hales,Green Party,755,Not elected
2011,Walcot,E05001967,00HAPZ,Steve Bendle,Labour Party,599,Not elected
2011,Walcot,E05001967,00HAPZ,Joy Goldsmith,Conservative Party,459,Not elected
2011,Walcot,E05001967,00HAPZ,Mandana Sharifi,Conservative Party,383,Not elected
2007,Walcot,E05001967,00HAPZ,David Dixon,Liberal Democrats,723,Elected
2007,Walcot,E05001967,00HAPZ,Colin Darracott,Liberal Democrats,706,Elected
2007,Walcot,E05001967,00HAPZ,Susan Elizabeth Francesca Yuille,Conservative Party,605,Not elected
2007,Walcot,E05001967,00HAPZ,William John Yuille,Conservative Party,572,Not elected
2007,Walcot,E05001967,00HAPZ,Nicholas Hales,Green Party,475,Not elected
2007,Walcot,E05001967,00HAPZ,Patrick Michael Mccarron,Labour Party,189,Not elected
2007,Walcot,E05001967,00HAPZ,Bernard William Morgan,Labour Party,170,Not elected
2003,Walcot,E05001967,00HAPZ,David Dixon,Liberal Democrats,556,Elected
2003,Walcot,E05001967,00HAPZ,Colin Darracott,Liberal Democrats,546,Elected
2003,Walcot,E05001967,00HAPZ,Susan Elizabeth Francesca Yuille,Conservative Party,488,Not elected
2003,Walcot,E05001967,00HAPZ,William John Yuille,Conservative Party,457,Not elected
2003,Walcot,E05001967,00HAPZ,Richard Scrase,Green Party,206,Not elected
2003,Walcot,E05001967,00HAPZ,Peter John Robert Norris,Labour Party,198,Not elected
2003,Walcot,E05001967,00HAPZ,Bernard William Morgan,Labour Party,189,Not elected
2003,Walcot,E05001967,00HAPZ,Gavin Withers,Green Party,152,Not elected
2003,Walcot,E05001967,00HAPZ,Andrew Benedict Tanner,Independent,143,Not elected
2003,Walcot,E05001967,00HAPZ,Nicholas Hales,Independent,50,Not elected
2015,Walcot,E05001967,00HAPZ,Christopher Trevor Slack,Conservative Party,695,Not elected
2015,Walcot,E05001967,00HAPZ,Fiona Lorraine Darey,Conservative Party,795,Elected
2015,Walcot,E05001967,00HAPZ,Susan Frances Traill,Independent,132,Not elected
2015,Walcot,E05001967,00HAPZ,Michael Tichelar,Green Party,772,Not elected
2015,Walcot,E05001967,00HAPZ,Vipul Arvind Patel,Green Party,765,Not elected
2015,Walcot,E05001967,00HAPZ,Ben Draper,Labour Party,516,Not elected
2015,Walcot,E05001967,00HAPZ,Tom Carter,Labour Party,492,Not elected
2015,Walcot,E05001967,00HAPZ,Tom Williams,Liberal Democrats,768,Not elected
2015,Walcot,E05001967,00HAPZ,Lisa Brett,Liberal Democrats,1323,Elected
2011,Westfield,E05001968,00HAQA,Rob Appleyard,Labour Party,971,Elected
2011,Westfield,E05001968,00HAQA,Robin Moss,Labour Party,651,Elected
2011,Westfield,E05001968,00HAQA,Sue Hamilton,Independent,514,Not elected
2011,Westfield,E05001968,00HAQA,Eddie Newman,Independent,321,Not elected
2011,Westfield,E05001968,00HAQA,Monica Evans,Conservative Party,291,Not elected
2011,Westfield,E05001968,00HAQA,Clive Fricker,Conservative Party,212,Not elected
2011,Westfield,E05001968,00HAQA,Catherine Whybrow,Liberal Democrats,123,Not elected
2011,Westfield,E05001968,00HAQA,Lesley Clarke,Liberal Democrats,98,Not elected
2007,Westfield,E05001968,00HAQA,Rob Appleyard,Labour Party,600,Elected
2007,Westfield,E05001968,00HAQA,Chris Cray,Independent,589,Elected
2007,Westfield,E05001968,00HAQA,Keith Pate,Independent,520,Not elected
2007,Westfield,E05001968,00HAQA,Christopher John Dando,Labour Party,518,Not elected
2007,Westfield,E05001968,00HAQA,Deirdre Horstmann,Conservative Party,216,Not elected
2007,Westfield,E05001968,00HAQA,Margaret Grindrod,Conservative Party,205,Not elected
2007,Westfield,E05001968,00HAQA,Nicholas Bahra,Liberal Democrats,80,Not elected
2007,Westfield,E05001968,00HAQA,Christine Helen Kirwan,Liberal Democrats,79,Not elected
2003,Westfield,E05001968,00HAQA,Chris Cray,Independent,507,Elected
2003,Westfield,E05001968,00HAQA,John Dando,Labour Party,437,Elected
2003,Westfield,E05001968,00HAQA,Wayne Teall,Labour Party,432,Not elected
2003,Westfield,E05001968,00HAQA,Mike Collins,Independent,352,Not elected
2003,Westfield,E05001968,00HAQA,Mark Terence Davey,Conservative Party,138,Not elected
2003,Westfield,E05001968,00HAQA,Barbara Hawking,Independent,120,Not elected
2015,Westfield,E05001968,00HAQA,Peter Edwards,Conservative Party,594,Not elected
2015,Westfield,E05001968,00HAQA,Margaret Rose Brewer,Conservative Party,712,Not elected
2015,Westfield,E05001968,00HAQA,Geoff Fuller,Independent,738,Not elected
2015,Westfield,E05001968,00HAQA,Darren John Rogers,Green Party,284,Not elected
2015,Westfield,E05001968,00HAQA,Robin Moss,Labour Party,997,Elected
2015,Westfield,E05001968,00HAQA,Eleanor Jackson,Labour Party,1100,Elected
2015,Westfield,E05001968,00HAQA,Katie Mallia,Liberal Democrats,133,Not elected
2015,Westfield,E05001968,00HAQA,Michelle Drew,Liberal Democrats,281,Not elected
2015,Westfield,E05001968,00HAQA,Ernie Blaber,UK Independence Party,749,Not elected
2011,Westmoreland,E05001969,00HAQB,June Player,Independent,565,Elected
2011,Westmoreland,E05001969,00HAQB,Sharon Grace Ball,Liberal Democrats,549,Elected
2011,Westmoreland,E05001969,00HAQB,Matt Hemsley,Liberal Democrats,512,Not elected
2011,Westmoreland,E05001969,00HAQB,Jon Lucas,Green Party,349,Not elected
2011,Westmoreland,E05001969,00HAQB,Nigel David Williams,Green Party,312,Not elected
2011,Westmoreland,E05001969,00HAQB,David Halpin,Labour Party,286,Not elected
2011,Westmoreland,E05001969,00HAQB,Hadleigh Roberts,Labour Party,231,Not elected
2011,Westmoreland,E05001969,00HAQB,Mike Ringham,Conservative Party,208,Not elected
2011,Westmoreland,E05001969,00HAQB,Lance Payton,Conservative Party,200,Not elected
2007,Westmoreland,E05001969,00HAQB,Sharon Ball,Liberal Democrats,500,Elected
2007,Westmoreland,E05001969,00HAQB,Lynda Hedges,Liberal Democrats,464,Elected
2007,Westmoreland,E05001969,00HAQB,Glenys Chalker,Conservative Party,436,Not elected
2007,Westmoreland,E05001969,00HAQB,Jon Lucas,Green Party,427,Not elected
2007,Westmoreland,E05001969,00HAQB,Susan Gillian Henley Green,Conservative Party,411,Not elected
2007,Westmoreland,E05001969,00HAQB,Jean Adamson Campbell,Labour Party,247,Not elected
2003,Westmoreland,E05001969,00HAQB,Sharon Ball,Liberal Democrats,543,Elected
2003,Westmoreland,E05001969,00HAQB,Lynda Hedges,Liberal Democrats,509,Elected
2003,Westmoreland,E05001969,00HAQB,Gillian Wendy Pitman,Labour Party,373,Not elected
2003,Westmoreland,E05001969,00HAQB,Christopher Jones,Labour Party,356,Not elected
2003,Westmoreland,E05001969,00HAQB,Susan Gillian Henley Green,Conservative Party,238,Not elected
2003,Westmoreland,E05001969,00HAQB,Gervase Antony Manfred O'Donovan,Conservative Party,201,Not elected
2015,Westmoreland,E05001969,00HAQB,Steve Thomas,Conservative Party,471,Not elected
2015,Westmoreland,E05001969,00HAQB,Christopher Alan Laycock,Conservative Party,508,Not elected
2015,Westmoreland,E05001969,00HAQB,June Player,Independent,1577,Elected
2015,Westmoreland,E05001969,00HAQB,Colin David Blackburn,Independent,947,Elected
2015,Westmoreland,E05001969,00HAQB,Jon Lucas,Green Party,935,Not elected
2015,Westmoreland,E05001969,00HAQB,Rebecca Nadehzda Shields,Labour Party,590,Not elected
2015,Westmoreland,E05001969,00HAQB,Sarah Moore,Liberal Democrats,436,Not elected
2015,Westmoreland,E05001969,00HAQB,Sharon Ball,Liberal Democrats,718,Not elected
2011,Weston,E05001970,00HAQC,Colin Vincent Barrett,Conservative Party,1187,Elected
2011,Weston,E05001970,00HAQC,Malcolm John Henry Lees,Conservative Party,963,Elected
2011,Weston,E05001970,00HAQC,Michelle Drew,Liberal Democrats,524,Not elected
2011,Weston,E05001970,00HAQC,Michelle Anne O'Doherty,Liberal Democrats,495,Not elected
2011,Weston,E05001970,00HAQC,Vicky Drew,Labour Party,419,Not elected
2011,Weston,E05001970,00HAQC,Lisa Loveridge,Green Party,384,Not elected
2007,Weston,E05001970,00HAQC,Colin Barrett,Conservative Party,1350,Elected
2007,Weston,E05001970,00HAQC,Malcolm Lees,Conservative Party,1184,Elected
2007,Weston,E05001970,00HAQC,David John Haydon Pickett,Liberal Democrats,814,Not elected
2007,Weston,E05001970,00HAQC,Shirley Ann Wilkins,Liberal Democrats,783,Not elected
2003,Weston,E05001970,00HAQC,Timothy John Bullamore,Liberal Democrats,1068,Elected
2003,Weston,E05001970,00HAQC,Colin Barrett,Conservative Party,1061,Elected
2003,Weston,E05001970,00HAQC,Peter Andrews,Liberal Democrats,974,Not elected
2003,Weston,E05001970,00HAQC,Malcolm Lees,Conservative Party,955,Not elected
2015,Weston,E05001970,00HAQC,Matthew Paul Davies,Conservative Party,952,Elected
2015,Weston,E05001970,00HAQC,Brian Colin Barrett,Conservative Party,1289,Elected
2015,Weston,E05001970,00HAQC,Malcolm Lees,Independent,811,Not elected
2015,Weston,E05001970,00HAQC,Josh Simon Hawker,Independent,351,Not elected
2015,Weston,E05001970,00HAQC,Lisa Loveridge,Green Party,627,Not elected
2015,Weston,E05001970,00HAQC,Steve Richards,Labour Party,433,Not elected
2015,Weston,E05001970,00HAQC,Matthew White,Liberal Democrats,548,Not elected
2015,Weston,E05001970,00HAQC,Ruth Malloy,Liberal Democrats,737,Not elected
2011,Widcombe,E05001971,00HAQD,Ian Andrew Gilchrist,Liberal Democrats,1106,Elected
2011,Widcombe,E05001971,00HAQD,Ben Stevens,Liberal Democrats,857,Elected
2011,Widcombe,E05001971,00HAQD,Peter John Martin,Conservative Party,613,Not elected
2011,Widcombe,E05001971,00HAQD,Don Wallace,Conservative Party,562,Not elected
2011,Widcombe,E05001971,00HAQD,Susan Patricia Bradley,Green Party,460,Not elected
2011,Widcombe,E05001971,00HAQD,Saiful Islam,Labour Party,331,Not elected
2007,Widcombe,E05001971,00HAQD,Ian Gilchrist,Liberal Democrats,734,Elected
2007,Widcombe,E05001971,00HAQD,Brook Whelan,Conservative Party,724,Elected
2007,Widcombe,E05001971,00HAQD,Nicole Mauricette O'Flaherty,Liberal Democrats,696,Not elected
2007,Widcombe,E05001971,00HAQD,Scott Murray,Conservative Party,552,Not elected
2007,Widcombe,E05001971,00HAQD,Harriet Stone,Independent,385,Not elected
2007,Widcombe,E05001971,00HAQD,Susan Patricia Bradley,Green Party,346,Not elected
2007,Widcombe,E05001971,00HAQD,Thelma Vivian Grimes,Green Party,219,Not elected
2007,Widcombe,E05001971,00HAQD,Mary Elizabeth Young,Labour Party,150,Not elected
2003,Widcombe,E05001971,00HAQD,Peter John Metcalfe,Liberal Democrats,653,Elected
2003,Widcombe,E05001971,00HAQD,Nicole Mauricette O'Flaherty,Liberal Democrats,628,Elected
2003,Widcombe,E05001971,00HAQD,Martin Robert Sykes,Conservative Party,532,Not elected
2003,Widcombe,E05001971,00HAQD,Brook Whelan,Conservative Party,496,Not elected
2003,Widcombe,E05001971,00HAQD,Susan Patricia Bradley,Green Party,229,Not elected
2003,Widcombe,E05001971,00HAQD,Jean Adamson Campbell,Labour Party,149,Not elected
2003,Widcombe,E05001971,00HAQD,Mary Elizabeth Young,Labour Party,149,Not elected
2015,Widcombe,E05001971,00HAQD,Brook Lloyd Whelan,Conservative Party,863,Not elected
2015,Widcombe,E05001971,00HAQD,Jasper Martin Becker,Conservative Party,1030,Elected
2015,Widcombe,E05001971,00HAQD,Casey Bernard Bailey Nolan,Independent,137,Not elected
2015,Widcombe,E05001971,00HAQD,Joy Goldsmith,Independent,78,Not elected
2015,Widcombe,E05001971,00HAQD,Thelma Vivian Grimes,Green Party,524,Not elected
2015,Widcombe,E05001971,00HAQD,Sally May Driver,Green Party,699,Not elected
2015,Widcombe,E05001971,00HAQD,Bernard William Morgan,Labour Party,387,Not elected
2015,Widcombe,E05001971,00HAQD,Ben Stevens,Liberal Democrats,811,Not elected
2015,Widcombe,E05001971,00HAQD,Ian Gilchrist,Liberal Democrats,1067,Elected
2019,Peasedown,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Jonathan Paul Rich,Labour Party,250,Not elected
2019,Keynsham South,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Fiona Mary Edwards,Green Party,283,Not elected
2019,Westmoreland,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Sam Campling,Liberal Democrats,391,Not elected
2019,Lambridge,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Jane Alice Samson,Labour and Co-operative Party,395,Not elected
2019,Radstock,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Rob Carter,Green Party,289,Not elected
2019,Weston,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Lisa Loveridge,Green Party,355,Not elected
2019,Bathavon North,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Leila Jane Froud,Green Party,385,Not elected
2019,Southdown,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Lindsay Sally Whitmore,Conservative Party,222,Not elected
2019,High Littleton,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Judith Patricia Brown,Labour Party,48,Not elected
2019,Peasedown,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",David John Konig,Green Party,182,Not elected
2019,Lambridge,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Joanna Wright,Liberal Democrats,1050,Elected
2019,Chew Valley,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Nicola Emma Sewell,Liberal Democrats,543,Not elected
2019,Oldfield Park,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Vanessa Ann Jessop,Labour Party,64,Not elected
2019,Keynsham North,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Steve Grimes,UK Independence Party,171,Not elected
2019,Lambridge,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Paula Lynne Malone,Bath Northeast Somerset Independent Group (BIG),250,Not elected
2019,Widcombe & Lyncombe,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Adam James Ley-Lange,Green Party,610,Not elected
2019,Clutton & Farmborough,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Alison Mary Simpson,Labour Party,52,Not elected
2019,Timsbury,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Allan Melville Sinclair,Conservative Party,115,Not elected
2019,Saltford,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Antony Stuart Dobson,Green Party,241,Not elected
2019,Mendip,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Tim Warren,Conservative Party,338,Not elected
2019,Midsomer Norton Redfield,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Lauren Barnes,Labour Party,288,Not elected
2019,Twerton,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Sarah Jane Moore,Liberal Democrats,764,Elected
2019,Moorlands,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Tim Beadle,Green Party,98,Not elected
2019,Kingsmead,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Sharon Louise Gillings,Labour Party,421,Not elected
2019,Keynsham North,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Andy McGuinness,Labour Party,398,Not elected
2019,Paulton,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Muriel Megan Harris,Conservative Party,167,Not elected
2019,Southdown,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Jon Lucas,Green Party,493,Not elected
2019,Newbridge,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Maggy White,Labour Party,140,Not elected
2019,Lansdown,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Jonathan Oates,Green Party,301,Not elected
2019,Paulton,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Liz Hardman,Labour Party,808,Elected
2019,Combe Down,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Nola Jane Edwards,Bath Northeast Somerset Independent Group (BIG),376,Not elected
2019,Publow with Whitchurch,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Steve Day,Green Party,143,Not elected
2019,Keynsham South,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Lisa O'Brien,Conservative Party,464,Elected
2019,Westfield,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Eleanor Margaret Jackson,Labour Party,461,Elected
2019,Weston,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Matthew Paul Davies,Conservative Party,603,Not elected
2019,Keynsham South,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Claire Veronica Jackson,Liberal Democrats,180,Not elected
2019,Westmoreland,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Colin David Blackburn,Independent,602,Elected
2019,Bathwick,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Elie Jacques Charles Breton Des Loys,Independent,37,Not elected
2019,Midsomer Norton Redfield,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Paul Myers,Conservative Party,817,Elected
2019,Walcot,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Nathan Stanley Russell,Labour Party,284,Not elected
2019,Chew Valley,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Victor Lewis Pritchard,Conservative Party,926,Elected
2017,Newbridge,E05001958,00HAPM,Loraine Morgan-Brinkhurst MBE,Independents,242,Not elected
2019,Lambridge,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Mark Patrick Mac Donnell,Conservative Party,301,Not elected
2019,Bathavon North,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Cydney Hippisley-Drew,Labour Party,88,Not elected
2019,Paulton,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Jeff Humphries,Independent,272,Not elected
2018,Kingsmead,E05001950,00HAPE,Sharon Louise Gillings,Labour Party,326,Not elected
2019,Widcombe & Lyncombe,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Peter Winston Gordon Duguid,Liberal Democrats,1404,Elected
2019,Odd Down,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Joel Edwin Hirst,Liberal Democrats,1028,Elected
2019,Bathavon North,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Geoff Ward,Conservative Party,658,Not elected
2019,Odd Down,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Michael James Clarkson,Conservative Party,260,Not elected
2019,Saltford,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Elizabeth Mary Alice Carter,Conservative Party,724,Not elected
2019,Twerton,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Rachel Susanna Willis,Labour Party,312,Not elected
2019,Odd Down,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Steve Hedges,Liberal Democrats,1095,Elected
2019,Widcombe & Lyncombe,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Mary Patricia Flitton,Labour Party,239,Not elected
2019,Paulton,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Grant Christopher Johnson,Labour Party,630,Elected
2019,Lansdown,"New ward boundaries, codes not yet released by Office for National Staistics","New ward boundaries, codes not yet released by Office for National Staistics",Stephen Richard Arthur Taylor,Bath Northeast Somerset Independent Group (BIG),301,Not elected
