name,also_known_as,postcode,phone,website,service_types,date_last_check,specialisms_services,provider_name,local_authority,region,location_url,location_id,provider_id,id,location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
Butterfly Home Help,,BA2 2RY,1225835888,http://www.butterflyhomehelp.com,Homecare agencies,06/08/2013 - 01:00,Caring for adults under 65 yrs|Dementia|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities|Personal care,Erian Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-263893992,1-263893992,1-101655626,0d36a78d9e68330b58328b55c5f6d0edf63b294a,"37 Upper Bloomfield Road, Odd Down, Bath
(51.357257, -2.381085)",30,60,334,19,1
IM Smile Ltd,,BA1 2EX,1225447600,,Dentist,16/01/2014 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",IM Smile Ltd,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-421209060,1-421209060,1-396773754,0c5e7adfc256d81854b83a0a352614344968be96,"Circus Dental & Implant Centre, Circus House, Bennett Street, Bath
(51.386195, -2.363449)",35,22,25,7,1
Sunnymede,,BS31 2UH,1179863157,,Nursing homes,03/04/2014 - 00:00,"Caring for adults over 65 yrs|Physical disabilities|Accommodation for persons who require nursing or personal care|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Woodland Healthcare Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-280706642,1-280706642,1-134539302,971c51fd156d083a9348854c93dcea9036406f91,"4 Vandyck Avenue, Keynsham, Bristol
(51.415245, -2.490049)",16,45,152,3,1
Bath Oral Surgery Clinic at the Bath & Bristol Periodontal Clinic,,BS31 3JF,1225874444,http://www.bathoralsurgeryclinic.co.uk,Dentist,11/04/2014 - 01:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Bath Oral Surgery Clinic Ltd,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-294596642,1-294596642,1-171570551,3c6cc3ace24e529c27c032e4977f744f52f286dc,"506 Bath Road, Saltford, Bristol
(51.400534, -2.454298)",17,81,423,16,1
Kingfisher Lodge,,BS31 3BG,1225871030,,Nursing homes,31/12/2013 - 00:00,"Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Physical disabilities|Accommodation for persons who require nursing or personal care|Treatment of disease, disorder or injury",Barchester Healthcare Homes Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-437267331,1-437267331,1-102642955,b132558a075c5155c26cd7dd0d0f2b867e5fa8ac,"Chestnut Walk, Saltford, Bath
(51.402103, -2.455564)",17,81,431,16,1
St Martin's Hospital,,BA2 5RP,1225831400,,Hospital|Community services - Healthcare|Homecare agencies|Community services - Learning disabilities|Long-term conditions|Rehabilitation (illness/injury)|Shared lives,08/04/2014 - 00:00,"Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Caring for adults over 65 yrs|Substance misuse problems|Physical disabilities|Personal care|Nursing care|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Sirona Care & Health CIC,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-297411781,1-297411781,1-290660061,41aa9565bd7f78718d4839a254d160056337d7cb,"Clara Cross Lane, Bath
(51.358157, -2.372591)",18,4,263,17,1
Paulton Memorial Hospital,,BS39 7SB,1761412315,,Hospital,12/04/2014 - 00:00,"Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Sirona Care & Health CIC,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-297412138,1-297412138,1-290660061,fb4c20458582efb028e3123aafe5f94c5a491b3e,"Salisbury Road, Paulton, Bristol
(51.298678, -2.493283)",13,67,373,23,1
Cleeve Court Community Resource Centre,,BA2 1RS,1225396788,,Residential homes|Supported living,01/05/2014 - 00:00,Sensory impairments|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities|Personal care|Accommodation for persons who require nursing or personal care,Sirona Care & Health CIC,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-297412481,1-297412481,1-290660061,5eadf180874ca71e453b280e518d2df8a89afb20,"Cleeve Court, Cleeve Green, Twerton, Bath
(51.380784, -2.401268)",28,91,468,11,1
Charlton House Community Resource Centre,,BS31 1BF,1225396600,,Residential homes,08/01/2014 - 00:00,Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities|Accommodation for persons who require nursing or personal care,Sirona Care & Health CIC,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-297421505,1-297421505,1-290660061,3226ee7122284d462534a20f20a563207ef9cdf5,"Charlton House, Hawthorns Lane, Keynsham, Bristol
(51.412125, -2.500569)",37,52,178,2,1
Combe Lea Community Resource Centre,,BA3 2RD,1225396616,,Residential homes,31/01/2014 - 00:00,Sensory impairments|Caring for adults under 65 yrs|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities|Accommodation for persons who require nursing or personal care,Sirona Care & Health CIC,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-297421598,1-297421598,1-290660061,51b93331a01385550d15c860d3097acfcfd6dac0,"Combe Lea Residential Care Home, Greenacres, Midsomer Norton, Radstock, Bath
(51.285952, -2.495856)",25,14,306,27,1
Avondown House,,BA2 1ND,1225395252,,Homecare agencies|Supported housing,01/08/2014 - 00:00,Sensory impairments|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities|Personal care,Sirona Care & Health CIC,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-297421922,1-297421922,1-290660061,13091051cf07e3b0beac86f1b06c4b9f64fe03f4,"Langdon Road, The Hollow, Twerton, Bath
(51.374935, -2.391764)",27,83,453,15,1
Connections,,BA3 3LL,1225395377,,Supported living,24/10/2013 - 01:00,Sensory impairments|Caring for adults under 65 yrs|Learning disabilities|Caring for adults over 65 yrs|Physical disabilities|Personal care,Sirona Care & Health CIC,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-297422096,1-297422096,1-290660061,cdcb1f9c329ea84462fdf830fcc1e42c27288edc,"Frome Road, Radstock, Bath
(51.288126, -2.43056)",12,78,416,24,1
Westcroft Nursing Home and Domiciliary Care,,BA2 6JS,1225466685,http://www.westcroftcare.co.uk,Nursing homes|Homecare agencies,22/07/2014 - 00:00,"Caring for adults over 65 yrs|Personal care|Accommodation for persons who require nursing or personal care|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Westcroft Care Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-311484853,1-311484853,1-273463820,c07f95280cbaf982c23f6121c1705ff7c3dcfeb5,"1 Cleveland Walk, Bath
(51.382028, -2.343888)",22,30,73,12,1
Widcombe Dental Practice,,BA2 4LA,1225317681,,Dentist,15/11/2013 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Widcombe Practice Ltd,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-469366594,1-469366594,1-461443359,14e4250f23969f888846e7560f9aa7b0b86b527e,"4 Sussex Place, Widcombe, Bath
(51.376612, -2.35379)",33,111,572,12,1
The Orangery,,BA2 2EL,1225311008,http://www.cedarcarehomes.com,Nursing homes,11/06/2013 - 01:00,"Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Cedar Care Homes Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-323983553,1-323983553,1-101642327,a2dd1aeacb8a6bc5c9415a1a6da4ab59b7b89adf,"Englishcombe Lane, Bath
(51.368511, -2.384857)",31,66,343,14,1
English Institute of Sport - Bath,,BA2 7AY,8707590592,http://www.eis2win.co.uk,Doctors/GPs|Doctors/GPs,26/07/2013 - 01:00,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Physical disabilities|Diagnostic and screening procedures,The English Institute of Sport Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-336212993,1-336212993,1-187144249,07aa658cf5d6f00c46025a0db9b42a5430a91920,"STV University of Bath, Claverton Down, Bath
(51.380438, -2.330671)",22,29,580,12,1
Keynsham Vehicle Base,,BS31 2ED,1179376334,,Ambulances,03/04/2013 - 01:00,"Learning disabilities|Mental health conditions|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems|Eating disorders|Transport services, triage and medical advice provided remotely",Tascor Services Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-336706304,1-336706304,1-322552996,bf394bde34dfe25401cd1d611b72e6611612c18a,"Unit 1, Burnett Business Park, Gypsy Lane, Keynsham, Bristol
(51.391757, -2.477221)",17,82,427,16,1
Riverside Health Centre,,BA1 2BT,,,Community services - Healthcare,30/04/2014 - 01:00,"Caring for children (0 - 18yrs)|Sensory impairments|Caring for adults under 65 yrs|Learning disabilities|Mental health conditions|Caring for people whose rights are restricted under the Mental Health Act|Substance misuse problems|Eating disorders|Physical disabilities|Family planning services|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Sirona Care & Health CIC,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-345558710,1-345558710,1-290660061,16672359a037d93746049398cac5cfbc66942b54,"James Street West, Bath
(51.382315, -2.367542)",34,55,195,9,1
Dimensions Broomfield 40 Gladstone Road,,BA2 5HL,1225830047,http://www.dimensions-uk.org,Residential homes,17/05/2013 - 01:00,Learning disabilities|Accommodation for persons who require nursing or personal care,Dimensions (UK) Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-352224241,1-352224241,1-349152381,3a28221e2ca994b0f8f1f7042bf4be6ebcae6455,"40 Gladstone Road, Bath
(51.361156, -2.341275)",19,37,113,18,1
Dimensions Fir Lodge 91 Bloomfield Avenue,,BA2 3AE,1225448474,http://www.dimensions-uk.org,Residential homes,25/07/2013 - 01:00,Learning disabilities|Accommodation for persons who require nursing or personal care,Dimensions (UK) Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-352306497,1-352306497,1-349152381,6212eb984f87c3d93a3e66e32f50c9862a51e413,"91 Bloomfield Avenue, Bath
(51.37367, -2.369096)",18,5,250,17,1
Dimensions Fountain House Innox Lane,,BA1 8DD,1225858947,http://www.dimensions-uk.org,Residential homes,24/10/2013 - 00:00,Learning disabilities|Accommodation for persons who require nursing or personal care,Dimensions (UK) Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-352306663,1-352306663,1-349152381,63f79415af1940ee26bb19c02bc29a04d50c539b,"Fountain House, Innox Lane, Upper Swainswick, Bath
(51.410763, -2.347713)",1,25,51,10,1
Dimensions Newton House,,BA2 1RG,1225421195,http://www.dimensions-uk.org,Residential homes,11/09/2013 - 01:00,Learning disabilities|Accommodation for persons who require nursing or personal care,Dimensions (UK) Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-352597531,1-352597531,1-349152381,63ede9d35d474379a9994e7d25dc360c871ea767,"10 Tanners Walk, Twerton, Bath
(51.378015, -2.408931)",28,90,470,11,1
Dimensions Theobald House 46 Dartmouth Avenue,,BA2 1AT,1225338567,http://www.dimensions-uk.org,Residential homes,01/01/2014 - 00:00,Learning disabilities|Accommodation for persons who require nursing or personal care,Dimensions (UK) Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-352597567,1-352597567,1-349152381,b640a84ce34663e92dfa8eec5015af39dc70ec25,"46 Dartmouth Avenue, Bath
(51.375694, -2.385334)",32,101,532,13,1
Dimensions 3 Trinity Close,,BA1 1US,1225443575,http://www.dimensions-uk.org,Residential homes,20/08/2013 - 01:00,Learning disabilities|Accommodation for persons who require nursing or personal care,Dimensions (UK) Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-352597703,1-352597703,1-349152381,6ed18d03e1f3ae0f944f824d93be28d11d0b6231,"3 Trinity Close, Bath
(51.380267, -2.364163)",34,55,196,9,1
The Royal United Hospital Ambulatory Care Dept,,BA1 3NG,1225474274,http://www.bems.uk.com,Mobile doctors|Urgent care centres,27/01/2012 - 00:00,"Services for everyone|Transport services, triage and medical advice provided remotely|Treatment of disease, disorder or injury|Diagnostic and screening procedures",BANES Emergency Medical Service + Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-363642876,1-363642876,1-199793906,c3cf460271977a4c23eaa7f4d5793d70990727b6,"RUH Ambulatory Care Dept (BEMS), Combe Park, Bath
(51.391662, -2.391202)",29,16,316,8,1
Edgar Buildings Dental Care,,BA1 2EE,1225466086,http://www.portmanhealthcare.co.uk,Dentist,13/11/2013 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Portman Healthcare Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-460442889,1-460442889,1-153032466,12d04741950618d088d6dff25605f36cff5c9279,"7 Edgar Buildings, George Street, Bath
(51.385183, -2.361918)",35,22,4,7,1
Paulton Hospital,,BS39 7SB,1761408114,http://www.bems.uk.com,Mobile doctors|Urgent care centres,27/01/2012 - 00:00,"Services for everyone|Transport services, triage and medical advice provided remotely|Treatment of disease, disorder or injury|Diagnostic and screening procedures",BANES Emergency Medical Service + Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-363642893,1-363642893,1-199793906,4ce94b85c26cf4b52a3188fab951ce7e05b38cac,"Paulton Memorial Hospital, Salisbury Road, Paulton, Bristol
(51.298678, -2.493283)",13,67,373,23,1
Heather House care home with nursing,,BA1 7PL,8453455741,http://www.blanchworth.net,Nursing homes,05/06/2014 - 00:00,"Sensory impairments|Dementia|Caring for adults over 65 yrs|Physical disabilities|Accommodation for persons who require nursing or personal care|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Heather House Partnership,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-367985058,1-367985058,1-311524546,a20899e5cf18b3ff8965263bb9764b27372b0a5b,"Bannerdown Road, Batheaston, Bath
(51.405632, -2.311559)",1,24,38,10,1
NAS Community Services (Bath & North East Somerset),,BA3 2BB,1761408162,http://www.autism.org.uk,Homecare agencies|Supported living,28/02/2014 - 00:00,Caring for children (0 - 18yrs)|Caring for adults under 65 yrs|Learning disabilities|Personal care,National Autistic Society,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-376107341,1-376107341,1-102642930,74d144e65f7c4c7b4f80462905ec6fdbc51c192b,"Unit 22 Wansdyke Business Centre, Radstock Road, Radstock
(51.291557, -2.469141)",11,8,284,25,1
Beechcroft Residential Home,,BA3 2QE,1761419531,,Residential homes,01/01/2014 - 00:00,Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care,David Nery Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-422874121,1-422874121,1-420406441,2a8d6de3c24fddb26182a0c79244602d89ce47b2,"75 North Road, Midsomer Norton, Radstock
(51.287999, -2.483861)",11,11,290,25,1
Alzheimer's Society BANES,,BA3 2RD,1225396426,http://www.alzheimers.org.uk,Homecare agencies,28/06/2014 - 00:00,Dementia|Personal care,Alzheimer's Society,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-431234880,1-431234880,1-101639435,88a2b7e5428bf16686c52f6521870058d1933a74,"Pinelea, Cleeve Court, Greenacres, Midsomer Norton
(51.285952, -2.495856)",25,14,306,27,1
Millies Care and Support Agency,,BA1 2BU,1225320840,,Homecare agencies,28/05/2014 - 00:00,Caring for adults under 65 yrs|Dementia|Caring for adults over 65 yrs|Physical disabilities|Personal care,Millies Care and Support Agency Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-441231841,1-441231841,1-430597880,43c36b0de381186dbd1b56fd45fb4399fe3703ba,"Office 22, Green Park Offices, James Street West, Bath
(51.38217, -2.367987)",34,55,195,9,1
The Parks Dental Practice,,BS31 1BU,1179869643,,Dentist,29/07/2014 - 00:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",The Parks Dental Practice,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-442993870,1-442993870,1-411769566,97ad3272d327dbf222d4c35e97296c07750feb60,"58 Park Road, Keynsham, Bristol
(51.412017, -2.502696)",37,52,181,2,1
Mostyn Lodge Residential Home,,BS31 2JH,1179864297,,Residential homes,24/05/2014 - 00:00,Dementia|Caring for adults over 65 yrs|Physical disabilities|Accommodation for persons who require nursing or personal care,Mostyn Lodge Keynsham Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-448493534,1-448493534,1-169723644,6027666ae7e82aa3959f0862899a1eaafa65f7eb,"2 Kelston Road, Keynsham, Bristol
(51.41207, -2.507111)",24,50,169,1,1
Chew Magna Dental Practice,,BS40 8RD,1275332371,http://www.chewmagnadentalpractice.com,Dentist,13/09/2013 - 01:00,"Services for everyone|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Chew Magna Dental Practice Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-450750078,1-450750078,1-442926365,457943d75f7c6443e6069f3f1776f8c4de683056,"Harford Square, Chew Magna, Bristol
(51.366615, -2.611069)",6,31,78,21,1
Whitchurch Care Home,,BS14 0PS,1275892600,http://www.fshc.co.uk,Nursing homes,28/06/2014 - 00:00,"Caring for adults over 65 yrs|Accommodation for persons who require nursing or personal care|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Idun Management Services Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-454747041,1-454747041,1-429547197,0ce8f50a306a8dab08d988f653a11fcaa43b519d,"95 Bristol Road, Whitchurch, Bristol
(51.406952, -2.559057)",7,75,402,20,1
Safe & Sound Homecare Services,,BA3 3BX,1761410745,http://www.safeandsoundhomecare.co.uk,Homecare agencies,25/02/2014 - 00:00,Sensory impairments|Dementia|Learning disabilities|Mental health conditions|Caring for adults over 65 yrs|Physical disabilities|Personal care,Mrs Stella E Davies,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-457429502,1-457429502,1-101722195,82fe9665c73cce6edeb7183dc6753cd309c49870,"Office 2, Oval Office, St Peters Business Park, Cobblers Way, Radstock
(51.281995, -2.467724)",26,98,516,26,1
Dr Catherine Louise Leach,Catherine Cottage Surgery,BA1 2PS,1225421034,http://www.catherinecottagesurgery.co.uk,Doctors/GPs|Doctors/GPs,01/04/2013 - 01:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Dr Catherine Louise Leach,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-494160111,1-494160111,1-199759981,1ac2cf05a1ab61b7d2dfd9f675794af2986b5104,"21 Catharine Place, Bath
(51.386961, -2.365826)",35,22,20,7,1
Dr Vera Austin,Monmouth Surgery,BA1 2AU,1225334618,http://www.monmouthsurgery.co.uk,Doctors/GPs|Doctors/GPs,01/04/2013 - 01:00,"Services for everyone|Maternity and midwifery services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Dr Vera Austin,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-508835112,1-508835112,1-199760294,afa3fba0d87d5d858672118ae94b9c35c708c7d8,"8 Monmouth Place, Bath
(51.383223, -2.367722)",34,115,212,9,1
Somerton House Surgery,,BA3 2QE,1761412141,http://www.somertonhousesurgery.co.uk,Doctors/GPs|Doctors/GPs,01/04/2013 - 01:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Somerton House Surgery,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-537765927,1-537765927,1-199759932,82682482d4eccba98532ab4c61dc8639b7bfdf35,"79A North Road, Midsomer Norton, Radstock
(51.287999, -2.483861)",11,11,290,25,1
St Augustines Medical Practice,,BS31 2BN,1179862343,http://www.st-augustinessurgery.co.uk,Doctors/GPs|Doctors/GPs,01/04/2013 - 01:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",St Augustines Medical Practice,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-542632490,1-542632490,1-199759439,606a74b2d5c0b3932abc71424bb9716a8172c795,"St Augustines Surgery, 4 Station Road, Keynsham, Bristol
(51.418048, -2.496924)",24,49,158,1,1
St Michael's Surgery,,BA2 1ER,1225428277,,Doctors/GPs|Doctors/GPs,01/04/2013 - 01:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",St Michael's Surgery,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-544017177,1-544017177,1-199759664,61c4408447a741fa29c4ec881af82a278f81d4e4,"Walwyn Close, Twerton-On-Avon, Bath
(51.381851, -2.399467)",28,92,479,11,1
Beehive Surgery,,BA2 1NH,1225445004,http://www.stmichaelssurgery.co.uk,Doctors/GPs|Doctors/GPs,01/04/2013 - 01:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",St Michael's Surgery,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-544017214,1-544017214,1-199759664,5264b60624bef6d962d45fc1efd0c91911832c49,"Mount Road, Southdown, Bath
(51.372527, -2.396585)",27,83,436,15,1
Hillcrest Surgery,,BA2 8JQ,1761434469,,Doctors/GPs|Doctors/GPs,18/10/2013 - 01:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Hillcrest Surgery,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-545456985,1-545456985,1-199760068,4477d270afe5711abe4299d6e3ab05f5401b9865,"Wellow Lane, Peasedown-St-John, Bath
(51.311978, -2.431687)",15,72,377,22,1
Chew Medical Practice,,BS40 8UE,1275332420,http://www.chewmedicalpractice.co.uk,Doctors/GPs|Doctors/GPs,01/04/2013 - 01:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Chew Medical Practice,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-545464803,1-545464803,1-199759694,f0a53ffc62c53aa3cf54886d336cea4fec87186d,"Chew Lane, Chew Stoke, Bristol
(51.356187, -2.629183)",6,31,83,21,1
Bath Fertility Centre,,BA2 8SG,1761434464,http://www.bathfertility.com,Doctors/GPs|Doctors/GPs,23/01/2014 - 00:00,Caring for adults under 65 yrs|Surgical procedures,Bath Fertility Centre Limited,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-715347335,1-715347335,1-550637571,b67b02f1eafc4daea862262d0138013d2fbf9850,"Roman Way, Bath Business Park, Peasedown St John, Bath
(51.312229, -2.414357)",15,70,383,22,1
St Chads Surgery,,BA3 2UH,1761413334,,Doctors/GPs|Doctors/GPs,01/04/2013 - 01:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",St Chads Surgery,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-547837077,1-547837077,1-199759245,3abb1b47f145d54232222b90efdc131182620c8f,"Gullock Tyning, Midsomer Norton, Radstock
(51.28783, -2.476847)",11,11,289,25,1
Combe Down Surgery,,BA2 5EG,1225832226,http://www.combedownsurgery.co.uk,Doctors/GPs|Doctors/GPs,01/04/2013 - 00:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Combe Down Surgery,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-549707491,1-549707491,1-199759624,cbf067f9c03c4f91d9fdb78921a898f99ff209f8,"Combe Down House, The Avenue, Combe Down, Bath
(51.361009, -2.345583)",19,37,109,18,1
Hope House Surgery,,BA3 3PL,1761432121,http://www.hopehousesurgery.co.uk,Doctors/GPs|Doctors/GPs,01/04/2013 - 01:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Hope House Surgery,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-550695310,1-550695310,1-199759108,b28dbe6d9e7851092a74c0f455734b1a64b20846,"The Street, Radstock
(51.291829, -2.44779)",12,79,413,24,1
"Drs Prees, Wernham & Weldon",Batheaston Medical Centre,BA1 7NP,1225858686,http://www.batheastonmedicalcentre.com,Doctors/GPs|Doctors/GPs,01/04/2013 - 01:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures","Drs Prees, Wernham & Weldon",Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-550966092,1-550966092,1-199759265,69c55f92103bed909adfc94b989cee7dfcf3376f,"Coalpit Road, Batheaston, Bath
(51.406039, -2.31737)",1,23,35,10,1
"Drs Jackson, Chapman, Hodson & Speed",Widcombe Surgery,BA2 4JT,1225310883,http://www.widcombesurgery.nhs.uk,Doctors/GPs|Doctors/GPs,01/04/2013 - 01:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures","Drs Jackson, Chapman, Hodson & Speed",Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-551541746,1-551541746,1-199759196,485e7f56a9d623617f6d3a84e6fa702d3f7fc2ed,"3-4 Widcombe Parade, Widcombe, Bath
(51.376377, -2.35432)",33,111,572,12,1
Elm Hayes Surgery,,BS39 7SF,1761413155,http://www.elmhayessurgery.co.uk,Doctors/GPs|Doctors/GPs,01/04/2013 - 01:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",Elm Hayes Surgery,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-552830252,1-552830252,1-199759567,0fae6a11e5fa8fe6d0f082bcd5dbc2b384a0cd35,"Clandown Road, Paulton, Bristol
(51.300542, -2.492743)",13,67,372,23,1
St Mary's Surgery,,BA2 0HX,1761470880,http://www.timsburysurgery.co.uk,Doctors/GPs|Doctors/GPs,01/04/2013 - 01:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Surgical procedures|Diagnostic and screening procedures",St Mary's Surgery,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-552853660,1-552853660,1-199760058,ceb6c2f0af7b7d50f771ee293445ab2a770ac042,"St Mary's Close, Timsbury, Bath
(51.326079, -2.47987)",14,87,460,16,1
Rush Hill Surgery,,BA2 2QH,1225446087,http://www.rushhillandwestonsurgery.co.uk,Doctors/GPs|Doctors/GPs,01/04/2013 - 01:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Rush Hill Surgery,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-553131905,1-553131905,1-199760265,503af3995df34d3104a551305e4f70bdf093c9e0,"20 Rush Hill, Bath
(51.365236, -2.39372)",30,62,340,19,1
Weston Surgery,,BA1 3NR,1225446089,http://www.rushhillandwestonsurgery.co.uk,Doctors/GPs|Doctors/GPs,01/04/2013 - 01:00,"Services for everyone|Maternity and midwifery services|Family planning services|Treatment of disease, disorder or injury|Diagnostic and screening procedures",Rush Hill Surgery,Bath & N E Somerset,South West,http://www.cqc.org.uk/location/1-553154312,1-553154312,1-199760265,92bf5fe963c0b22cd6c8be54fbdf5d5fe4a4e917,"20 Combe Park, Bath
(51.390277, -2.388618)",29,16,316,8,1
