Distributing Body,Good Cause,Recipient Name,Project Name,Grant Date,Grant Amount,Programme Name,County,Postal Town,Local Authority,Electoral Ward,Region,UK Constituency,EU Constituency
UK Film Council,Arts,named individual,Barking at Trees,04/04/2005,2000,RIFE,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Bath Fringe Festival,To support programming at Bath Fringe's flagship venue,04/04/2005,4898,GrantsforOrganisations,,Bath,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,Holy Trinity PCC,Holy Trinity Church,31/03/2005,53000,,,BRISTOL,Bath and North East Somerset,,South West,North East Somerset,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to Holland in May of this year. Funding has also been provided for a carer to travel with the Veteran.,23/03/2005,525,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,English Karate Governing Body,Karate: Performance,17/03/2005,69486,WorldClassProgramme,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Avon County Rowing Club,"The Group Will Encourage The 'Older Juniors' To Stay In The Sport By Qualifying Them To Help Coach And Supervise Younger Juniors And Beginners And Also By Purchasing A Quadruple Sculling Boat, Suitable For Older Boys.",17/03/2005,5000,AwardsforAll,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Fosse Group of Young Farmers' Clubs,"An Open Day Of Activities, Events, Crafts And Competitions Will Be Held For The General Public To Introduce People To What The Yfc Has To Offer And The Role They Play In Rural Somerset.",17/03/2005,4022,AwardsforAll,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Bath Fringe Ltd,The Award Will Be Used To Update And Upgrade The Group'S Computer Systems And Improve Their Computer Resources.,17/03/2005,3998,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Paulton Amateur Dramatic Society,"The Award Will Be Used To Buy Lighting And Sound Equipment, Which Will Be Used For Training Purposes, And To Improve The Quality Of Their Presentations.",17/03/2005,5000,AwardsforAll,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Open Spaces Therapies Limited,"36 Sessions Of Dramatherapy Will Be Run For Women At Risk Of Postnatal Depression, In Which They Can Express And Share Difficult Feelings In A Safe And Supportive Group.",17/03/2005,4970,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,RSPCA Bath & District Branch,A Part Time Volunteer Co-Ordinator Will Be Employed To Work With Existing Volunteers Based At The Centre And In The Community And Will Develop Volunteer Recruitment In Association With External Agencies.,17/03/2005,5000,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Fosse Way School,"Two After School Clubs Will Be Set Up, A Wheels Based Club And A Woodwork Club For Children & Young People With Severe And Complex Learning Difficulties.",17/03/2005,4500,AwardsforAll,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Walcot Street Trust,An Exhibition Will Be Mounted At The Corn Market Which Will Show The History Of The Building And Will Include A Theatre/Visual Arts/Music Piece Of Work To Evoke The Feel Of The Building. The Project Will Raise Public Interest In Rescuing And Restoring The,17/03/2005,4700,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Federation of Bath Residents Associations,"A Book Entitled 'Better For Bath', Outlining Views About The Future Of Bath From The Standpoint Of Its Residents Will Be Printed And Distributed To Schools, Local Councillors And Public Bodies.",17/03/2005,2000,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
UK Sport,Sport,British Bobsleigh Association,World Class Performance,16/03/2005,60000,,,Bath,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,The National Trust,"Discovering the Wilderness - Prior Park, Bath",15/03/2005,483000,,,Bath,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,University of Bath,University of Bath,14/03/2005,572304,EnglishInstituteofSport,,Bath,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,Modern Pentathlon Association of Great Britain,World Class Programme,31/03/2002,10000,WorldClassProgramme,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to France in June of this year. Funding has also been provided for a carer to travel with the Veteran.,09/03/2005,525,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to India in April of this year.,09/03/2005,1200,Heroes Return,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,First Steps Centre for Children and Families,First Steps Community Music Project,08/03/2005,9800,Youth Music - First Steps - Sure Start,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Nesa,Organisational Development Phase 3,01/03/2005,75690,GrantsforOrganisations,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to Singapore in September of this year. Funding has also been provided for a spouse and a carer to travel with the Veteran.,23/02/2005,3150,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Somerset has been awarded a grant towards travel costs for a commemorative visit to India in  April of this year.,23/02/2005,1200,Heroes Return,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Streats Ltd,This Group Promotes Street Arts And Outdoor Arts Events. They Will Use Their Award To Create A Finale For The Annual Bedlam Fair Street Arts Weekend.,23/02/2005,4695,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Providing Ex-Offenders Positive Learning Environments Limite,The organisation will set up a charity shop with the purpose of publicising the group more and involving local community members and ex offenders in employment opportunities.,23/02/2005,4500,AwardsforAll,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,The Royal British Legion Club Bathford Ltd,The Kitchen Will Be Extended And Re-Equipped To Provide An Upgraded Facility For Club Members And Community Groups.,23/02/2005,3250,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,South Side Family Project,"Southside Magic Day, A Special Event For Under 5'S, Will Be Staged Next Spring In Bath Districts Of Whiteway And Twerton.",23/02/2005,5000,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Bath Fringe Visual Arts,Bath Fringe Arts public art exhibitions & events,14/02/2005,3000,GrantsforOrganisations,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to Canada in October of last year. Funding has also been provided for a spouse to travel with the Veteran,09/02/2005,875,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,English Karate Governing Body,Karate: Performance,04/02/2005,57059,WorldClassProgramme,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Streats Ltd,Paradise Regained,01/02/2005,4800,GrantsforOrganisations,,Bath,Bath and North East Somerset,,South West,Bath,South West
UK Film Council,Arts,Suited and Booted Community Video,Filmmaking Partner,31/01/2005,25000,FirstLight,,Bath,Bath and North East Somerset,,South West,Bath,South West
Community Fund,Charitable Expenditure,Envolve Partnerships For Sustainability,The two-year grant will be used to establish a Time Bank Plus' in the Twerton Whiteway and Southdown areas of Bath providing local people with the chance to help themselves and others in their own communities through a range of volunteering opportunities.,31/01/2005,74143,Large Projects,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Bath Industrial Heritage Trust,A project to commemorate the events leading to the end of WW2 wiht the provision of a travelling exhibition based on information gathered from the people of Bath.,28/01/2005,9950,Home Front Recall,,Bath,Bath and North East Somerset,,South West,Bath,South West
UK Sport,Sport,Modern Pentathlon Association of Great Britain,World Class Performance,25/01/2005,1620000,,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to France in July of this year. Funding has also been provided for a spouse to travel with the Veteran,25/01/2005,525,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to Russia in May of this year. Funding has also been provided for a spouse to travel with the Veteran.,11/01/2005,2100,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,2 Second World War Veterans from Bath have been awarded a grant towards travel costs for a commemorative visit to Hawaii in September of this year. Funding has also been provided for 2 spouses to travel with the Veterans.,11/01/2005,4200,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Women's Royal Army Corps Association - Bath Branch,A project to commemorate the events leading to the end of WW2 with the provision of a reunion event for the benefit of members of this group to the National Memorial Arboretum in Staffordshire.,06/01/2005,6500,Home Front Recall,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Severnside Composers Alliance,Programme of concerts of contemporary music 2005,17/12/2004,600,GrantsforOrganisations,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,2 Second World War Veterans from Bath have been awarded a grant towards travel costs for a commemorative visit to Sri Lanka in February of next year. Funding has also been provided for a carer to travel with the Veterans.,14/12/2004,3300,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to Italy in October of this year. Funding has also been provided for a spouse to travel with the Veteran.,10/12/2004,875,Heroes Return,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Community Fund,Charitable Expenditure,Include to Inform,This grant will help disabled people to get the information they need to make choices for themselves and to influence the way policies and services are developed so they can play a full part in their communities.,29/11/2004,113286,Large Projects,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Bristol Ornithological Club,The Group Will Purchase Modern Projection Equipment To Improve And Enhance Their Natural History Events And Wildlife Talks.,18/11/2004,1625,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Oldfield Park Baptist Pre-School,The Provision Of Additional Play Equipment Will Extend Learning And Create Opportunities For These Pre School Children.,18/11/2004,1132,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Hinton Charterhouse Womens Institute,The Group Will Nominate Two Members To Attend National Training Events.,18/11/2004,700,AwardsforAll,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,One Eighty,A Set Of Portable Ramps Will Be Purchased And Used To Run A Weekly Indoor Skate Facility In And Around Bath.,18/11/2004,5000,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Waterside Family Centre,Waterside Family Centre 'Stay & Play Artspace' pilot project,16/11/2004,1072,GrantsforOrganisations,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to Toronto in November of this year. Funding has also been provided for a spouse to travel with the Veteran.,10/11/2004,1225,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,St Martins Garden Primary School,"Sport And Co-Ordination Project For Autistic Children. Coaching -̼300, Equipment -̼499, Airbed Supervision -̼720",18/03/2004,1519,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Gravesend has been awarded a grant towards travel costs for a commemorative visit to France in October of this year. Funding has also been provided for a spouse to travel with the Veteran.,10/11/2004,525,Heroes Return,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bath has been awarded a grant towards travel costs for a commemoratative visit to France in June of this year. Funding has also been provided for a carer to travel with the Veteran.,10/11/2004,525,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Bath and North East Somerset Council,A project to commemorate WW2 with the provision of an exhibition and educative project for the benefit of all members of this community based in Bath and the surrounding area.,02/11/2004,9962,Home Front Recall,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to France in July of this year. Funding has also been provided for a carer to travel with the Veteran.,14/10/2004,525,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bathford has been awarded a grant towards travel costs for a commemorative visit to South Africa in March next year. Funding has also been provided for a spouse to travel with the Veteran.,14/10/2004,2100,Heroes Return,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Bath Area Network For Artists (Bana),The BANA 3 year business plan,05/10/2004,23000,GrantsforOrganisations,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bathford has been awarded a grant towards travel costs for a commemorative visit to Libya in October of this year.,01/10/2004,700,Heroes Return,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Walcot Nationday,The Award Will Fund An Arts Festival Focusing On Issues Surrounding Mental Health.,12/05/2004,4500,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to Italy in September of this year. Funding has also been provided for a carer to travel with the Veteran,01/10/2004,1225,Heroes Return,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
UK Film Council,Arts,Suited & Booted,Filmmaking Partner,17/09/2004,50000,FirstLight,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Envolve Partnerships For Sustainability,A Community Forum Will Be Established To Promote Community Building And Conservation Work In A Local Woodland Area. Training Will Be Provided So That Local People Can Manage The Forum And Arrange Activities In The Area.,16/09/2004,4644,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Summerfield Special School,Young People With Special Needs Will Take Part In A Camping And Walking Experience In Which They Will Be Involved In All Aspects Of Planning And Delivery Of The Project.,16/09/2004,4998,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Project!,Digital NTE Fund,08/09/2004,4992,UKFC - Exhibition,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bristol has been awarded a grant towards travel costs for a commemorative visit to Italy in September of this year. Funding has also been provided for a spouse to travel with the Veteran.,24/08/2004,875,Heroes Return,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bristol has been awarded a grant towards travel costs for a commemorative visit to France in June of this year. Funding has also been provided for a carer to travel with the Veteran,17/08/2004,525,Heroes Return,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,The Weardale Society,"This Group Work To Promote Their Area And The Lives Of The People In Their Community. They Run Musical, Historical, And Topical Activities And Co-Ordinate Fund Raising For A Range Of Other Local Groups And Causes. The Award Will Allow Them To Purchase A M",11/08/2004,1896,AwardsforAll,,Bishop Auckland,Bath and North East Somerset,,South West,North East Somerset,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to Sicily in September of this year. Funding has also been provided for a spouse to travel with the Veteran.,10/08/2004,875,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
Heritage Lottery Fund,Heritage,Bath and North East Somerset Council,"Sickert's ""London Street, Bath"" purchase",06/08/2004,30700,,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Invention.Arts,REINVENTING WINDOW ARTS,21/08/2003,4800,GrantsforOrganisations,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to Holland in September of this year. Funding has also been provided for a spouse to travel with the Veteran.,03/08/2004,525,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,"Weardale Society, The",Weardale Festival 2004 - Arts Programme,03/08/2004,4534,GrantsforOrganisations,,Bishop Auckland,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Wiltshire & Swindon Theatre Strategy Pro,Implementation of the Wiltshire & Swindon Theatre Strategy,03/08/2004,30000,GrantsforOrganisations,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Theatre Royal Bath,Wild and Wacky Festival for Children and Festival of Youth,03/08/2004,29000,GrantsforOrganisations,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Kevan Manwaring,The Long Woman Literary Tour,02/08/2004,4500,GrantsforNationalTouring,,Bath,Bath and North East Somerset,,South West,Bath,South West
UK Film Council,Arts,named individual,The Lord of the Ringswell Gardens,23/07/2004,250,RIFE,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to Italy in July of this year.Funding has also been provided for a carer to travel with the Veteran.,20/07/2004,875,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Sound Knowledge Music & Media Limited,15 young people will take part in a project to design and build a website that will act as an urban music and media portal for young people in the Bath and Bristol areas.,15/07/2004,4960,Awards for All,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Holcombe Majorettes,The group will represent England at the European Baton Twirling Championships in Switzerland in October.,15/07/2004,5000,Awards for All,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Ubley Pre School,"The award will be used to update old, worn out toys and equipment.",15/07/2004,1520,Awards for All,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
UK Sport,Sport,British Bob Skeleton Association,World Class Performance,14/07/2004,95428,,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Bath and North East Somerset Council,"Bath and North East Somerset Council will use funding to provide a full size floodlit synthetic turf pitch this Keynsham school. This will provide local schools, existing sports clubs and the wider community with an accessible floodlit synthetic turf pitc",14/07/2004,259000,,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,International Guitar Foundation & Festivals,National Youth Rock Orchestra (NYRO),13/07/2004,17796,Youth Music - Music Maker,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to Greece in May of this year. Funding has also been provided for a spouse to travel with the Veteran,06/07/2004,875,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,Two Second World War Veterans from Bath has been awarded a grant towards travel costs for a commemorative visit to Egypt in September of this year.,06/07/2004,1400,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to France in June of this year. Funding has also been provided for a spouse to travel with the Veteran.,06/07/2004,525,Heroes Return,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to France in June of this year. Funding has also been provided for a carer to travel with the Veteran.,22/06/2004,525,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,North East Somerset Arts,Radstock Art Project- Programme Development & Implementation,02/06/2004,32525,GrantsforOrganisations,,Radstock,Bath and North East Somerset,,South West,North East Somerset,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to France in June of this year. Funding has also been provided for a spouse to travel with the Veteran.,25/05/2004,525,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to France in June of this year. Funding has also been provided for a carer to travel with the Veteran.,25/05/2004,525,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to France in June of this year.Funding has also been provided for a carer to travel with the Veteran,25/05/2004,525,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to France in February of this year. Funding has also been provided for a spouse to travel with the Veteran.,25/05/2004,525,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Peter Pan Playgroup,"As Part Of Their 25th Anniversary, The Playgroup Will Create An Attractive Play Area For Their City Children.",25/05/2004,5000,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Paulton Parish Council,A Stair Lift Will Be Installed At This Village Hall To Enable Older And Disabled To Access Activities Being Held In The New Meeting Room.,25/05/2004,5000,AwardsforAll,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Temple Primary School,"To Create Additional Storage Space In Order To Free Up Hall Space For An Out Of School Hours Gymnastics/Movement Group For Less Able Pupils, In Particular Those With Sen And Dyspraxia.",20/05/2004,500,AwardsforAll,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to Italy in April of this year. The grant will pay for travel costs,18/05/2004,500,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bath has been awarded a grant towards travel costs for a commemorative visit to  France in June of this year. Grant will cover travel costs,18/05/2004,300,Heroes Return,,Bath,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,Modern Pentathlon Association of Great Britain,Modern Pentathlon: Potential and Start,17/05/2004,52250,WorldClassProgramme,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,The Bath and District Fibromyalgia Support Group,Six Members Will Attend A Conference On The Condition Of Fibromyalgia.,12/05/2004,1302,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,The Friends Of The Queensway Centre,The Group Will Develop Their Holiday Activity Zone For Pupils With Autism During 04/05.,12/05/2004,3805,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,B&Nes Arts Partnership,CREATIVE EDUCATION FOR DISAFFECTED & EXCLUDED STUDENTS,21/08/2003,30000,GrantsforOrganisations,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Bath Fringe Arts,"As A Pilot Study For A Longer Term Project, A Group Of Homeless And Disadvantaged People Will Participate In Arts Workshops Run By Professionals, Studying Photography, Drawing And Sculpture.",12/05/2004,4000,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
New Opportunities Fund,"Health, Education, Environment",Heroes Return Award to an individual,A Second World War Veteran from Bristol has been awarded a grant towards travel costs for a commemorative visit to Normandy in April of this year. Funding has also been provided for a spouse to travel with the Veteran,11/05/2004,525,Heroes Return,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Bath & North East Somerset Music Service,Endangered Species,11/05/2004,14764,Youth Music - Endangered Species,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Arts Council England,Arts,Arts Development,5x5x5=Creativity in the Early Years,21/04/2004,10000,Youth Music - First Steps,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,1st Saltford Scout Group,Kitchen And Toilet Facilities Will Be Replaced And Improved At The Scout Hut.,18/03/2004,3000,AwardsforAll,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,Bath & North East Somerset Racial Equality Council,Bath Black Sports Development Project,19/08/2002,88076,Active Communities Development Fund,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Open Spaces Therapies Limited,"Training Staff And Leaders Of Community Support Groups In Delivering Art And Drama Therapy Will Mean That People Identified As Vulnerable Due To Mental Illness, Learning Difficulties, Social Circumstances And Age Group Will Benefit From Higher Self Esteem",18/03/2004,4622,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Marksbury Village Hall Committee,A Disabled Toilet And Other Facilities Will Be Provided In The Hall As A Result Of This Award.,18/03/2004,5000,AwardsforAll,,Bath,Bath and North East Somerset,,South West,North East Somerset,South West
Awards For All (England) Joint Scheme,Charitable Expenditure,Somerset Special Schools Sports Association,"New Age Curling Will Be Introduced To Special Schools Across, Banes, Bristol And Somerset With A Road Show , Festival And Training Days.",18/03/2004,2011,AwardsforAll,,Bath,Bath and North East Somerset,,South West,Bath,South West
Arts Council England,Arts,Keynsham Music Festival Association,Cutting Edge,17/03/2004,5000,GrantsforOrganisations,,Bristol,Bath and North East Somerset,,South West,North East Somerset,South West
Sport England,Sport,English Karate Governing Body,Karate: Performance,15/03/2004,413250,WorldClassProgramme,,Bath,Bath and North East Somerset,,South West,Bath,South West
Sport England,Sport,Modern Pentathlon Association of Great Britain,Modern Pentathlon: Potential and Start,05/03/2004,947600,WorldClassProgramme,,Bath,Bath and North East Somerset,,South West,Bath,South West
