incident_number,datetime,ward,location,incident_category,type_0,type_1,type_2,type_3,x_coordinate,y_coordinate,unitary_authority,origin_of_call,property_category,property_type,is_primary_fire,cause_of_fire,is_property_derelict,is_property_occupied_at_the_incident,property_normally_occupied,is_fire_confined_to_chimney,how_fire_was_discovered,main_cause_of_fire,ignition_source,ignition_source_powered,item_first_damaged,item_responsible_for_spread_of_fire,main_action_by_other_than_frs,main_action_by_frs,special_service_type,road_traffic_collision,false_alarm_reason,victims_involved,were_alarm_systems_present,no_of_fatalities,no_of_fire_fatalities,no_of_injuries,no_of_rescues,Ward,Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary,Lower Layer Super Output Areas (LSOA)
012392-18092011,09/18/2011 08:02:16 PM +0000,PUBLOW AND WHITCHURCH,"(51.37830468780018, -2.5401864960089866)",False Alarm,Building,Non Residential,Education,Infant/primary school,362***,164***,BANES,Person (land line),NonResidential,Building > Non Residential > Education > Infant/primary school,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Fire elsewhere (not at location),no,,,,,,7,398,20,1,74
007959-16072011,07/16/2011 01:36:24 AM +0000,OLDFIELD,"(51.37897302091154, -2.367775587009803)",Fire,Road Vehicle,Car,,,374***,164***,BANES,Person (land line),RoadVehicle,Road Vehicle > Car,yes,Deliberate ? others property,no,,,,Persons,Deliberate;  - others property: Heat source and combustibles brought together deliberately,Not known,Not known,Not known,None,None,,,no,,no,,,,,,33,561,12,1,109
014400-16102011,10/16/2011 09:47:11 PM +0000,CHEW VALLEY NORTH,"(51.350977875603, -2.6116626055156495)",Fire,Other transport vehicle,Boats,Fishing boat,,357***,161***,BANES,Person (mobile),Boat,Other transport vehicle > Boats > Fishing boat,yes,Not known,no,,,,Persons,Other,Not known,Not known,Not known,"Explosives, gas, chemicals -> Petrol/Oil products",None,,,no,,no,,,,,,6,79,21,1,31
006481-26062011,06/26/2011 12:36:00 PM +0000,TWERTON,"(51.38787067528191, -2.396588936586609)",False Alarm,Building,Other Residential,Sheltered Housing - not self contained,,372***,165***,BANES,AFA from call centre,OtherResidential,Building > Other Residential > Sheltered Housing - not self contained,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,,29,315,8,1,16
018625-22122011,12/22/2011 02:49:18 PM +0000,RADSTOCK,"(51.29785523609656, -2.4244980543039976)",False Alarm,Building,Non Residential,Education,Other,370***,155***,BANES,Person (land line),NonResidential,Building > Non Residential > Education > Other,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,9,63,22,1,28
017410-29112011,11/29/2011 08:53:36 PM +0000,CLUTTON,"(51.36032215714889, -2.5399748388765127)",False Alarm,Road Vehicle,Lorry/HGV,,,362***,162***,BANES,Person (mobile),RoadVehicle,Road Vehicle > Lorry/HGV,,,,,,,,,,,,,,,,,Good Intent false alarm > Special Service > Not required,no,,,,,,7,398,20,1,74
011675-06092011,09/06/2011 09:00:15 PM +0000,WESTMORELAND,"(51.37897302091154, -2.367775587009803)",False Alarm,Building,Dwelling,Converted Flat/Maisonette - multiple occupancy,3 or more storeys,374***,164***,BANES,Person (land line),Dwelling,Building > Dwelling > Converted Flat/Maisonette - multiple occupancy > 3 or more storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,,33,561,12,1,109
013657-07102011,10/07/2011 09:43:22 AM +0000,ABBEY,"(51.39700019568331, -2.3535463911730448)",Special Service,Building,Non Residential,Religious,Church/Chapel,375***,166***,BANES,Person (land line),NonResidential,Building > Non Residential > Religious > Church/Chapel,,,,,,,,,,,,,,,"Making Safe (not RTC), Remove object / obstruction from pedestrian area",no,,no,,,,,,36,500,6,1,93
018256-15122011,12/15/2011 07:25:06 PM +0000,KINGSMEAD,"(51.38796447889967, -2.367847713155505)",Special Service,Outdoor,Other outdoors (including land),Highway/road surface/pavement,,374***,165***,BANES,Other,Outdoor,Outdoor > Other outdoors (including land) > Highway/road surface/pavement,,,,,,,,,,,,,,,"Medical Incident - First responder, Unconscious, fitting or unresponsive",no,,yes,,0,0,1,0,34,200,9,1,115
019327-05012012,01/05/2012 12:21:00 PM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Non Residential,Offices and call centres,Purpose built office,375***,165***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Offices and call centres > Purpose built office,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,,36,498,6,1,96
018130-13122011,12/13/2011 10:38:05 AM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",Fire,Outdoor,Outdoor structures,Small refuse/rubbish/recycle container (excluding wheelie bin),,375***,165***,BANES,Person (land line),OutdoorStructure,Outdoor > Outdoor structures > Small refuse/rubbish/recycle container (excluding wheelie bin),no,Accidental,yes,,,,,,,,,,,,,no,,no,,,,,,36,498,6,1,96
014347-16102011,10/16/2011 02:19:39 AM +0000,ODD DOWN,"(51.369935557636936, -2.3820684996326986)",False Alarm,Building,Dwelling,Bungalow - single occupancy,,373***,163***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Bungalow - single occupancy,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,31,359,14,1,66
011921-11092011,09/11/2011 08:33:18 AM +0000,ABBEY,"(51.38805123395204, -2.339106340447153)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,4 to 9 storeys,376***,165***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > 4 to 9 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,22,71,12,1,29
014726-21102011,10/21/2011 11:54:28 PM +0000,COMBE DOWN,"(51.36103427921812, -2.353269220489017)",Fire,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,375***,162***,BANES,Person (mobile),Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,yes,Accidental,no,yes,Yes - occupied,no,Persons,Accidental;  Fault in equipment or appliance ,Other domestic style appliance -> Dishwasher ,Electric,"Foam, rubber, plastic -> Foam - raw material only","Foam, rubber, plastic -> Foam - raw material only",Water from garden hose,None -> No firefighting,,no,,yes,no,0,0,1,0,19,118,18,1,38
013731-08102011,10/08/2011 02:59:42 AM +0000,TWERTON,"(51.378879247282384, -2.39651117938257)",Fire,Road Vehicle,Car,,,372***,164***,BANES,Person (mobile),RoadVehicle,Road Vehicle > Car,yes,Deliberate ? unknown owner,no,,,,Persons,Deliberate;  - unknown owner: Heat source and combustibles brought together deliberately,Not known,Not known,"Foam, rubber, plastic -> Rubber ? raw material only","Foam, rubber, plastic -> Rubber ? raw material only",Smothering,,,no,,no,,,,,,28,469,11,1,89
018971-29122011,12/29/2011 05:27:00 PM +0000,ODD DOWN,"(51.3609440864242, -2.381993635417731)",Fire,Road Vehicle,Car,,,373***,162***,BANES,Person (mobile),RoadVehicle,Road Vehicle > Car,yes,Accidental,no,,,,Persons,Accidental;  Faulty fuel supplies - Electricity,Vehicles only -> Electrical fault ,Electric,,,Fire extinguisher,None -> No firefighting,,no,,no,,,,,,30,328,19,1,19
018840-26122011,12/26/2011 03:33:21 PM +0000,BATHAVON SOUTH,"(51.36103427921812, -2.353269220489017)",False Alarm,Building,Dwelling,House - single occupancy,,375***,162***,BANES,Person (land line),Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Smoking chimney,no,,,,,,19,118,18,1,38
011221-30082011,08/30/2011 01:20:47 PM +0000,BATHAVON NORTH,"(51.39712243762106, -2.3104257253397282)",False Alarm,Building,Dwelling,Self contained Sheltered Housing,,378***,166***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Self contained Sheltered Housing,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,,1,45,10,1,24
018126-13122011,12/13/2011 10:16:29 AM +0000,MIDSOMER NORTON NORTH,"(51.29769126723163, -2.467525054976255)",False Alarm,Building,Dwelling,Self contained Sheltered Housing,,367***,155***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Self contained Sheltered Housing,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Accidentally/carelessly set off,no,,,,,,12,421,24,1,76
007579-11072011,07/11/2011 07:32:45 AM +0000,LANSDOWN,"(51.39700019568331, -2.3535463911730448)",Special Service,Outdoor,Outdoor structures,Railings,,375***,166***,BANES,Person (mobile),OutdoorStructure,Outdoor > Outdoor structures > Railings,,,,,,,,,,,,,,,"Animal assistance incidents, Other, Livestock e.g. Horse, Cow, Sheep, Goat, Pig, Poultry, Fish, Exotic (Llama/Ostrich), Deer, etc.",no,,no,,,,,,36,500,6,1,93
016958-22112011,11/22/2011 06:34:52 PM +0000,OLDFIELD,"(51.37897302091154, -2.367775587009803)",False Alarm,Outdoor,Other outdoors (including land),Loose refuse (incl in garden),,374***,164***,BANES,Person (mobile),Outdoor,Outdoor > Other outdoors (including land) > Loose refuse (incl in garden),,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Controlled burning,no,,,,,,33,561,12,1,109
014500-18102011,10/18/2011 06:44:37 PM +0000,OLDFIELD,"(51.369935557636936, -2.3820684996326986)",False Alarm,Outdoor,"Grassland, woodland and crops",Private/Domestic garden/allotment (vegetation not equipment/building),,373***,163***,BANES,Person (mobile),Outdoor,"Outdoor > Grassland, woodland and crops > Private/Domestic garden/allotment (vegetation not equipment/building)",,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Other,no,,,,,,31,359,14,1,66
005354-11062011,06/11/2011 02:38:33 AM +0000,ABBEY,"(51.38805123395204, -2.339106340447153)",Special Service,Road Vehicle,Minibus,,,376***,165***,BANES,Police,RoadVehicle,Road Vehicle > Minibus,,,,,,,,,,,,,,,"RTC, Make vehicle safe",yes,,yes,,0,0,2,0,22,71,12,1,29
006932-02072011,07/02/2011 03:02:18 AM +0000,TWERTON,"(51.38787067528191, -2.396588936586609)",Fire,Outdoor,Outdoor structures,Large refuse/rubbish container (e.g. skip),,372***,165***,BANES,Person (mobile),OutdoorStructure,Outdoor > Outdoor structures > Large refuse/rubbish container (e.g. skip),no,Deliberate ? unknown owner,no,,,,,,,,,,,,,no,,no,,,,,,29,315,8,1,16
018324-16122011,12/16/2011 07:31:52 PM +0000,WIDCOMBE,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Non Residential,"Public admin, security and safety",Law Courts,375***,165***,BANES,AFA from call centre,NonResidential,"Building > Non Residential > Public admin, security and safety > Law Courts",,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Contaminants > Dust,no,,,,,,36,498,6,1,96
012613-22092011,09/22/2011 07:12:05 PM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",Special Service,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,4 to 9 storeys,375***,165***,BANES,Person (mobile),Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > 4 to 9 storeys,,,,,,,,,,,,,,,"Effecting entry/exit, No persons involved",no,,no,,,,,,36,498,6,1,96
005697-16062011,06/16/2011 08:43:58 AM +0000,BATHAVON WEST,"(51.38776982318764, -2.4253299990861983)",Special Service,Road Vehicle,Car,,,370***,165***,BANES,Other,RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"Assist other agencies, Other assistance to police/ambulance, Other",no,,no,,,,,,9,68,22,1,28
000699-12042012,04/12/2012 11:27:42 AM +0000,LYNCOMBE,"(51.36099006304717, -2.3676314465748853)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,374***,162***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: other > Faulty,no,,,,,,18,259,17,1,4
010268-15082011,08/15/2011 06:20:21 PM +0000,WIDCOMBE,"(51.38796447889967, -2.367847713155505)",False Alarm,Outdoor,"Grassland, woodland and crops",Private/Domestic garden/allotment (vegetation not equipment/building),,374***,165***,BANES,Person (mobile),Outdoor,"Outdoor > Grassland, woodland and crops > Private/Domestic garden/allotment (vegetation not equipment/building)",,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Controlled burning,no,,,,,,34,200,9,1,115
011822-09092011,09/09/2011 04:59:14 PM +0000,KEYNSHAM NORTH,"(51.414460688271, -2.497474572472788)",False Alarm,Building,Other Residential,Residential Home,Nursing/Care,365***,168***,BANES,Person (land line),OtherResidential,Building > Other Residential > Residential Home > Nursing/Care,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,,37,182,2,1,52
013155-30092011,09/30/2011 02:56:13 AM +0000,WESTFIELD,"(51.27976466334815, -2.4530056921824808)",False Alarm,Building,Non Residential,Warehouses and bulk storage,Warehouse,368***,153***,BANES,Person (mobile),NonResidential,Building > Non Residential > Warehouses and bulk storage > Warehouse,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,12,420,24,1,79
007622-11072011,07/11/2011 09:51:45 PM +0000,WALCOT,"(51.39700019568331, -2.3535463911730448)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,375***,166***,BANES,Person (mobile),Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Other,no,,,,,,36,500,6,1,93
008315-21072011,07/21/2011 07:30:51 PM +0000,KEYNSHAM SOUTH,"(51.41452086342165, -2.4830958377138144)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,366***,168***,BANES,Person (land line),Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,,16,152,3,1,45
006900-01072011,07/01/2011 07:23:16 PM +0000,TWERTON,"(51.38787067528191, -2.396588936586609)",False Alarm,Building,Other Residential,Sheltered Housing - not self contained,,372***,165***,BANES,AFA from call centre,OtherResidential,Building > Other Residential > Sheltered Housing - not self contained,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Accidentally/carelessly set off,no,,,,,,29,315,8,1,16
010517-18082011,08/18/2011 09:20:30 PM +0000,BATHAVON NORTH,"(51.37917662719197, -2.2959359789126292)",Special Service,Outdoor,"Grassland, woodland and crops",Canal/riverbank vegetation,,379***,164***,BANES,Person (mobile),Outdoor,"Outdoor > Grassland, woodland and crops > Canal/riverbank vegetation",,,,,,,,,,,,,,,"Animal assistance incidents, Lift heavy animal, Livestock e.g. Horse, Cow, Sheep, Goat, Pig, Poultry, Fish, Exotic (Llama/Ostrich), Deer, etc.",no,,no,,,,,,1,45,10,1,24
008304-21072011,07/21/2011 04:19:24 PM +0000,BATHAVON NORTH,"(51.40575257274656, -2.425496904860238)",Special Service,Road Vehicle,Car,,,370***,167***,BANES,Person (mobile),RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"Spills and Leaks (not RTC), Vehicle leaking fuel",no,,yes,,0,0,1,0,1,50,10,1,25
006596-27062011,06/27/2011 03:30:40 PM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Non Residential,Offices and call centres,Purpose built office,375***,165***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Offices and call centres > Purpose built office,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Accidentally/carelessly set off,no,,,,,,36,498,6,1,96
011901-11092011,09/11/2011 01:08:56 AM +0000,BATHAVON NORTH,"(51.40611392094566, -2.310486652076779)",False Alarm,Building,Dwelling,House - single occupancy,,378***,167***,BANES,Person (mobile),Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,,1,38,10,1,24
015255-29102011,10/29/2011 07:11:26 PM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Dwelling,Converted Flat/Maisonette - multiple occupancy,3 or more storeys,375***,165***,BANES,Person (mobile),Dwelling,Building > Dwelling > Converted Flat/Maisonette - multiple occupancy > 3 or more storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Contaminants > Steam,no,,,,,,36,498,6,1,96
000844-14042012,04/14/2012 04:04:40 PM +0000,LAMBRIDGE,"(51.40603416354781, -2.339239433659037)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,376***,167***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,,1,32,10,1,23
005193-08062011,06/08/2011 07:58:22 PM +0000,RADSTOCK,"(51.297802336263274, -2.4388404326437576)",False Alarm,Building,Dwelling,Other Dwelling,,369***,155***,BANES,Person (mobile),Dwelling,Building > Dwelling > Other Dwelling,,,,,,,,,,,,,,,,,Good Intent false alarm > Fire > Other,no,,,,,,12,406,24,1,76
022623-03032012,03/03/2012 03:09:11 PM +0000,KEYNSHAM SOUTH,"(51.40546942503702, -2.4973769560890022)",Fire,Outdoor,Other outdoors (including land),Loose refuse (incl in garden),,365***,167***,BANES,Person (land line),Outdoor,Outdoor > Other outdoors (including land) > Loose refuse (incl in garden),no,Deliberate ? others property,no,,,,,,,,,,,,,no,,no,,,,,,37,184,2,1,53
017287-28112011,11/28/2011 10:26:58 AM +0000,TWERTON,"(51.38787067528191, -2.396588936586609)",False Alarm,Building,Other Residential,Other Residential Home,,372***,165***,BANES,AFA from call centre,OtherResidential,Building > Other Residential > Other Residential Home,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Testing,no,,,,,,29,315,8,1,16
008721-27072011,07/27/2011 05:29:21 AM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",Fire,Outdoor,Outdoor structures,Small refuse/rubbish/recycle container (excluding wheelie bin),,375***,165***,BANES,Person (mobile),OutdoorStructure,Outdoor > Outdoor structures > Small refuse/rubbish/recycle container (excluding wheelie bin),no,Deliberate ? others property,no,,,,,,,,,,,,,no,,no,,,,,,36,498,6,1,96
013502-04102011,10/04/2011 06:03:16 PM +0000,NEWBRIDGE,"(51.38791845815606, -2.382218344259114)",False Alarm,Building,Dwelling,Licensed HMO,Up to 2 storeys,373***,165***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Licensed HMO > Up to 2 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,,34,202,9,1,54
010110-13082011,08/13/2011 05:58:56 PM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Dwelling,Converted Flat/Maisonette - multiple occupancy,3 or more storeys,375***,165***,BANES,Other FRS,Dwelling,Building > Dwelling > Converted Flat/Maisonette - multiple occupancy > 3 or more storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,,36,498,6,1,96
015464-01112011,11/01/2011 05:15:45 PM +0000,BATHAVON SOUTH,"(51.33418166398332, -2.310000119356239)",Special Service,Road Vehicle,Multiple Vehicles,,,378***,159***,BANES,Ambulance,RoadVehicle,Road Vehicle > Multiple Vehicles,,,,,,,,,,,,,,,"RTC, Make vehicle safe",yes,,no,,,,,,10,54,10,1,113
007877-14072011,07/14/2011 09:44:03 PM +0000,SOUTHDOWN,"(51.378879247282384, -2.39651117938257)",Fire,Outdoor,Other outdoors (including land),Loose refuse (incl in garden),,372***,164***,BANES,Person (land line),Outdoor,Outdoor > Other outdoors (including land) > Loose refuse (incl in garden),no,Deliberate ? others property,no,,,,,,,,,,,,,no,,no,,,,,,28,469,11,1,89
011843-09092011,09/09/2011 09:42:37 PM +0000,KEYNSHAM SOUTH,"(51.414460688271, -2.497474572472788)",False Alarm,Building,Dwelling,Self contained Sheltered Housing,,365***,168***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Self contained Sheltered Housing,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Smoking,no,,,,,,37,182,2,1,52
009238-03082011,08/03/2011 06:16:16 PM +0000,BATHAVON NORTH,"(51.39681252846942, -2.4110401030634985)",Fire,Outdoor,"Grassland, woodland and crops",Tree scrub (includes single trees not in garden),,371***,166***,BANES,Police,Outdoor,"Outdoor > Grassland, woodland and crops > Tree scrub (includes single trees not in garden)",no,Deliberate ? others property,no,,,,,,,,,,,,,no,,no,,,,,,1,50,10,1,25
017140-26112011,11/26/2011 04:04:30 PM +0000,KEYNSHAM SOUTH,"(51.414460688271, -2.497474572472788)",False Alarm,Building,Non Residential,Retail,Large supermarket,365***,168***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Retail > Large supermarket,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: other > Faulty,no,,,,,,37,182,2,1,52
012336-17092011,09/17/2011 09:12:18 PM +0000,WALCOT,"(51.39700019568331, -2.3535463911730448)",Fire,Building,Dwelling,Tenement Building,,375***,166***,BANES,Person (mobile),Dwelling,Building > Dwelling > Tenement Building,yes,Accidental,no,yes,Yes - occupied,no,Persons,Accidental;  Combustible articles too close to heat source (or fire),Cooking appliance -> Cooker incl oven,Electric,Clothing/Textiles  -> Other textiles,Clothing/Textiles  -> Other textiles,None,,,no,,yes,yes,0,0,2,0,36,500,6,1,93
013783-08102011,10/08/2011 07:18:04 PM +0000,HIGH LITTLETON,"(51.306502902283626, -2.5106514457796845)",Fire,Building,Dwelling,House - single occupancy,,364***,156***,BANES,Person (mobile),Dwelling,Building > Dwelling > House - single occupancy,no,Accidental,no,yes,Yes - occupied,yes,,,,,,,,,,no,,no,,,,,,13,364,23,1,68
015058-27102011,10/27/2011 06:17:04 AM +0000,CHEW VALLEY NORTH,"(51.35112435272644, -2.5829453758218834)",Special Service,Road Vehicle,Lorry/HGV,,,359***,161***,BANES,Ambulance,RoadVehicle,Road Vehicle > Lorry/HGV,,,,,,,,,,,,,,,"RTC, Extrication of person/s",yes,,yes,,0,0,0,1,6,79,21,1,31
019116-01012012,01/01/2012 07:49:29 PM +0000,MIDSOMER NORTON NORTH,"(51.288699783947536, -2.467433694010908)",False Alarm,Building,Non Residential,Offices and call centres,Other,367***,154***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Offices and call centres > Other,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Unknown,no,,,,,,26,510,26,1,97
011725-08092011,09/08/2011 07:23:39 AM +0000,NEWBRIDGE,"(51.396909887464425, -2.3822933247234346)",False Alarm,Building,Non Residential,Hospitals and medical care,Hospital,373***,166***,BANES,AFA from call centre,NonResidential,Building > Non Residential > Hospitals and medical care > Hospital,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > System: smoke alarm > Faulty,no,,,,,,20,546,5,1,107
020703-30012012,01/30/2012 07:48:31 AM +0000,SALTFORD,"(51.40564460324016, -2.4542490651782036)",Special Service,Road Vehicle,Motorcycle,,,368***,167***,BANES,Police,RoadVehicle,Road Vehicle > Motorcycle,,,,,,,,,,,,,,,"RTC, Wash down road",yes,,no,,,,,,17,426,16,1,80
012514-21092011,09/21/2011 10:49:14 AM +0000,KEYNSHAM SOUTH,"(51.414460688271, -2.497474572472788)",Special Service,Building,Other Residential,Residential Home,Nursing/Care,365***,168***,BANES,AFA from call centre,OtherResidential,Building > Other Residential > Residential Home > Nursing/Care,,,,,,,,,,,,,,,"Lift Release, For able bodied person not in distress",no,,yes,,0,0,0,1,37,182,2,1,52
019055-31122011,12/31/2011 01:19:30 PM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Other Residential,Residential Home,Retirement/Elderly,375***,165***,BANES,AFA from call centre,OtherResidential,Building > Other Residential > Residential Home > Retirement/Elderly,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,,36,498,6,1,96
013977-11102011,10/11/2011 06:36:00 PM +0000,CHEW VALLEY NORTH,"(51.35112435272644, -2.5829453758218834)",Fire,Building,Dwelling,House - single occupancy,,359***,161***,BANES,Person (land line),Dwelling,Building > Dwelling > House - single occupancy,no,Accidental,no,yes,Yes - occupied,yes,,,,,,,,,,no,,no,,,,,,6,79,21,1,31
020623-28012012,01/28/2012 01:43:11 PM +0000,KEYNSHAM SOUTH,"(51.41439874940084, -2.5118532566988687)",False Alarm,Building,Dwelling,House - single occupancy,,364***,168***,BANES,Person (mobile),Dwelling,Building > Dwelling > House - single occupancy,,,,,,,,,,,,,,,,,Good Intent false alarm > Special Service > Not required,no,,,,,,24,163,1,1,50
012224-16092011,09/16/2011 01:22:16 AM +0000,WALCOT,"(51.39704270572472, -2.339172869838466)",Special Service,Building,Dwelling,Unknown if licensed HMO,3 or more storeys,376***,166***,BANES,Person (land line),Dwelling,Building > Dwelling > Unknown if licensed HMO > 3 or more storeys,,,,,,,,,,,,,,,"Spills and Leaks (not RTC), Other",no,,no,,,,,,23,230,4,1,58
017733-06122011,12/06/2011 03:20:56 PM +0000,ODD DOWN,"(51.3609440864242, -2.381993635417731)",Fire,Outdoor,Outdoor structures,Refuse/rubbish tip,,373***,162***,BANES,Person (mobile),OutdoorStructure,Outdoor > Outdoor structures > Refuse/rubbish tip,no,Deliberate ? others property,yes,,,,,,,,,,,,,no,,no,,,,,,30,328,19,1,19
015188-28102011,10/28/2011 07:30:20 PM +0000,NEWBRIDGE,"(51.38791845815606, -2.382218344259114)",False Alarm,Building,Dwelling,Purpose Built Flat/Maisonette - multiple occupancy,Up to 3 storeys,373***,165***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Purpose Built Flat/Maisonette - multiple occupancy > Up to 3 storeys,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,,34,202,9,1,54
000854-14042012,04/14/2012 07:41:26 PM +0000,WIDCOMBE,"(51.3790597482288, -2.3390398454616075)",False Alarm,Building,Other Residential,Student Hall of Residence,,376***,164***,BANES,AFA from call centre,OtherResidential,Building > Other Residential > Student Hall of Residence,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Human > Cooking/burnt toast,no,,,,,,22,77,12,1,29
012844-26092011,09/26/2011 10:53:55 AM +0000,ABBEY,"(51.38800873750183, -2.35347704473258)",False Alarm,Building,Other Residential,Hotel/motel,,375***,165***,BANES,AFA from call centre,OtherResidential,Building > Other Residential > Hotel/motel,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Contaminants > Dust,no,,,,,,36,498,6,1,96
013841-09102011,10/09/2011 09:03:51 AM +0000,PAULTON,"(51.306564603993664, -2.496306501203432)",False Alarm,Building,Dwelling,Bungalow - single occupancy,,365***,156***,BANES,AFA from call centre,Dwelling,Building > Dwelling > Bungalow - single occupancy,,,,,,,,,,,,,,,,,Fire alarm due to Apparatus > Contaminants > Dust,no,,,,,,13,375,23,1,69
014491-18102011,10/18/2011 03:12:51 PM +0000,ABBEY,"(51.37901726536445, -2.353407734154723)",Special Service,Road Vehicle,Car,,,375***,164***,BANES,Person (land line),RoadVehicle,Road Vehicle > Car,,,,,,,,,,,,,,,"Effecting entry/exit, For child",no,,yes,,0,0,0,1,33,564,12,1,111
